2024-04-16 18:22:46,668 INFO    StreamThr :1687230 [internal.py:wandb_internal():86] W&B internal server running at pid: 1687230, started at: 2024-04-16 18:22:46.667654
2024-04-16 18:22:46,669 DEBUG   HandlerThread:1687230 [handler.py:handle_request():146] handle_request: status
2024-04-16 18:22:46,677 INFO    WriterThread:1687230 [datastore.py:open_for_write():87] open: /home/loki/projects/adgpt/wandb/run-20240416_182246-zyvs499i/run-zyvs499i.wandb
2024-04-16 18:22:46,678 DEBUG   SenderThread:1687230 [sender.py:send():382] send: header
2024-04-16 18:22:46,682 DEBUG   SenderThread:1687230 [sender.py:send():382] send: run
2024-04-16 18:22:47,418 INFO    SenderThread:1687230 [dir_watcher.py:__init__():211] watching files in: /home/loki/projects/adgpt/wandb/run-20240416_182246-zyvs499i/files
2024-04-16 18:22:47,418 INFO    SenderThread:1687230 [sender.py:_start_run_threads():1136] run started: zyvs499i with start time 1713271966.676032
2024-04-16 18:22:47,420 DEBUG   HandlerThread:1687230 [handler.py:handle_request():146] handle_request: check_version
2024-04-16 18:22:47,420 DEBUG   SenderThread:1687230 [sender.py:send_request():409] send_request: check_version
2024-04-16 18:22:47,493 DEBUG   HandlerThread:1687230 [handler.py:handle_request():146] handle_request: run_start
2024-04-16 18:22:47,505 DEBUG   HandlerThread:1687230 [system_info.py:__init__():27] System info init
2024-04-16 18:22:47,505 DEBUG   HandlerThread:1687230 [system_info.py:__init__():42] System info init done
2024-04-16 18:22:47,505 INFO    HandlerThread:1687230 [system_monitor.py:start():194] Starting system monitor
2024-04-16 18:22:47,505 INFO    SystemMonitor:1687230 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-16 18:22:47,506 INFO    HandlerThread:1687230 [system_monitor.py:probe():214] Collecting system info
2024-04-16 18:22:47,506 INFO    SystemMonitor:1687230 [interfaces.py:start():190] Started cpu monitoring
2024-04-16 18:22:47,506 INFO    SystemMonitor:1687230 [interfaces.py:start():190] Started disk monitoring
2024-04-16 18:22:47,507 INFO    SystemMonitor:1687230 [interfaces.py:start():190] Started gpu monitoring
2024-04-16 18:22:47,507 INFO    SystemMonitor:1687230 [interfaces.py:start():190] Started memory monitoring
2024-04-16 18:22:47,508 INFO    SystemMonitor:1687230 [interfaces.py:start():190] Started network monitoring
2024-04-16 18:22:47,570 DEBUG   HandlerThread:1687230 [system_info.py:probe():151] Probing system
2024-04-16 18:22:47,571 DEBUG   HandlerThread:1687230 [system_info.py:_probe_git():136] Probing git
2024-04-16 18:22:47,576 DEBUG   HandlerThread:1687230 [system_info.py:_probe_git():144] Probing git done
2024-04-16 18:22:47,576 DEBUG   HandlerThread:1687230 [system_info.py:probe():199] Probing system done
