2024-04-23 03:38:43,079 INFO    MainThread:104865 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_setup.py:_flush():76] Configure stats pid to 104865
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_setup.py:_flush():76] Loading settings from /home/loki/.config/wandb/settings
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_setup.py:_flush():76] Loading settings from /home/loki/projects/adgpt/wandb/settings
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/loki/projects/adgpt/train.py', 'program': '/home/loki/projects/adgpt/train.py'}
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_init.py:_log_setup():524] Logging user logs to /home/loki/projects/adgpt/wandb/run-20240423_033843-tx0jtzaz/logs/debug.log
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_init.py:_log_setup():525] Logging internal logs to /home/loki/projects/adgpt/wandb/run-20240423_033843-tx0jtzaz/logs/debug-internal.log
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_init.py:init():564] calling init triggers
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'out_dir': 'out', 'eval_interval': 1000, 'log_interval': 10, 'eval_iters': 200, 'eval_only': False, 'always_save_checkpoint': True, 'init_from': 'gpt2', 'wandb_log': True, 'wandb_project': 'owt', 'wandb_run_name': 'gpt2-124M', 'dataset': 'openwebtext', 'gradient_accumulation_steps': 30, 'batch_size': 8, 'block_size': 1024, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'dropout': 0.0, 'is_additive': True, 'bias': False, 'learning_rate': 0.0006, 'max_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'min_lr': 6e-05, 'backend': 'nccl', 'device': 'cuda', 'dtype': 'bfloat16', 'compile': True}
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_init.py:init():614] starting backend
2024-04-23 03:38:43,080 INFO    MainThread:104865 [wandb_init.py:init():618] setting up manager
2024-04-23 03:38:43,081 INFO    MainThread:104865 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-23 03:38:43,081 INFO    MainThread:104865 [wandb_init.py:init():624] backend started and connected
2024-04-23 03:38:43,083 INFO    MainThread:104865 [wandb_init.py:init():716] updated telemetry
2024-04-23 03:38:43,087 INFO    MainThread:104865 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-04-23 03:38:43,776 INFO    MainThread:104865 [wandb_run.py:_on_init():2254] communicating current version
2024-04-23 03:38:44,023 INFO    MainThread:104865 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-04-23 03:38:44,023 INFO    MainThread:104865 [wandb_init.py:init():800] starting run threads in backend
2024-04-23 03:38:45,734 INFO    MainThread:104865 [wandb_run.py:_console_start():2233] atexit reg
2024-04-23 03:38:45,734 INFO    MainThread:104865 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-04-23 03:38:45,735 INFO    MainThread:104865 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-04-23 03:38:45,735 INFO    MainThread:104865 [wandb_run.py:_redirect():2178] Redirects installed.
2024-04-23 03:38:45,735 INFO    MainThread:104865 [wandb_init.py:init():841] run started, returning control to user process
